         462088 function calls (461222 primitive calls) in 20.483 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.034    0.034 pkg_resources.py:1637(get_resource_filename)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:256(get_build_platform)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1650(_get_date_and_size)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        2    0.000    0.000    0.000    0.000 ssl.py:302(__new__)
       65    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.001    0.001 pkg_resources.py:778(Environment)
       16    0.000    0.000    0.000    0.000 pkg_resources.py:2810(cls)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1189(MarkerEvaluation)
        2    0.000    0.000    0.056    0.028 pkg_resources.py:1595(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:326(SSLContext)
       16    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        8    0.000    0.000    0.000    0.000 {imp.acquire_lock}
        9    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        2    0.000    0.000    0.000    0.000 zipfile.py:158(_EndRecData64)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
       13    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       13    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
       28    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 pkg_resources.py:2065(yield_lines)
        9    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 pkg_resources.py:1727(_get_eager_resources)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1375(NullProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2159(EntryPoint)
        2    0.000    0.000    0.001    0.000 pkg_resources.py:84(_bypass_ensure_directory)
        4    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1604(ZipProvider)
        1    0.000    0.000    0.010    0.010 pkg_resources.py:2573(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        2    0.000    0.000    0.000    0.000 posixpath.py:89(split)
        5    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1027(_warn_unsafe_extraction_path)
        8    0.000    0.000    0.000    0.000 pkg_resources.py:760(_added_new)
       28    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       10    0.000    0.000    0.000    0.000 pkg_resources.py:1784(__init__)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:226(get_provider)
        1    0.000    0.000    0.000    0.000 urllib.py:120(URLopener)
        2    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.003    0.003 splash.py:17(createStrip)
        1    0.000    0.000    0.035    0.035 pkg_resources.py:951(resource_filename)
        1    0.000    0.000    0.011    0.011 zipfile.py:501(ZipExtFile)
        1    0.000    0.000    0.000    0.000 feedparser.py:158(FeedParser)
       10    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:419(WorkingSet)
        1    0.000    0.000    0.000    0.000 urlparse.py:73(ResultMixin)
        5    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:934(ResourceManager)
        1    0.000    0.000    0.000    0.000 collections.py:390(Counter)
        1    0.000    0.000    0.000    0.000 plistlib.py:230(PlistWriter)
        1    0.000    0.000    0.021    0.021 pkg_resources.py:1564(MemoizedZipManifests)
