         476260 function calls (475394 primitive calls) in 22.259 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.001    0.000    0.001    0.000 {_sre.compile}
       40    0.001    0.000    0.005    0.000 posixpath.py:139(islink)
      100    0.001    0.000    0.014    0.000 pkg_resources.py:2050(_normalize_cached)
        1    0.001    0.001    0.001    0.001 plistlib.py:393(PlistParser)
       30    0.001    0.000    0.005    0.000 genericpath.py:38(isdir)
      148    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       28    0.001    0.000    0.004    0.000 {all}
       17    0.001    0.000    0.002    0.000 sre_parse.py:225(isname)
        1    0.001    0.001    0.001    0.001 message.py:92(Message)
      123    0.001    0.000    0.001    0.000 sre_parse.py:143(__setitem__)
      366    0.001    0.000    0.001    0.000 {ord}
       79    0.001    0.000    0.002    0.000 sre_parse.py:83(closegroup)
       82    0.001    0.000    0.001    0.000 {math.cos}
       42    0.001    0.000    0.003    0.000 sre_parse.py:187(__init__)
        1    0.001    0.001    0.001    0.001 tempfile.py:18(<module>)
        1    0.001    0.001    0.001    0.001 contextlib.py:1(<module>)
       28    0.001    0.000    0.008    0.000 re.py:148(sub)
        8    0.001    0.000    0.019    0.002 pkg_resources.py:2414(activate)
        1    0.001    0.001    0.183    0.183 platform.py:10(<module>)
       17    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       22    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        2    0.001    0.000    0.001    0.001 zipfile.py:872(namelist)
       22    0.001    0.000    0.013    0.001 pkg_resources.py:1852(find_distributions)
       16    0.001    0.000    0.001    0.000 {posix.access}
        1    0.001    0.001    0.002    0.002 img.py:5(__init__)
       24    0.001    0.000    0.001    0.000 pkg_resources.py:2450(__getattr__)
        1    0.001    0.001    0.001    0.001 symbol.py:3(<module>)
       82    0.001    0.000    0.001    0.000 {math.sin}
       22    0.001    0.000    0.001    0.000 pkgutil.py:366(get_importer)
        2    0.001    0.000    0.029    0.015 pkg_resources.py:1659(_extract_resource)
        1    0.001    0.001    0.001    0.001 socket.py:179(_socketobject)
       42    0.001    0.000    0.001    0.000 sre_parse.py:67(__init__)
       19    0.001    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
       61    0.001    0.000    0.001    0.000 {_sre.getlower}
       16    0.001    0.000    0.001    0.000 genericpath.py:85(_splitext)
        1    0.001    0.001    0.001    0.001 neopixel.py:53(__init__)
        8    0.001    0.000    0.082    0.010 pkg_resources.py:1753(_has)
        6    0.001    0.000    0.046    0.008 {map}
        1    0.001    0.001    0.008    0.008 quoprimime.py:27(<module>)
        4    0.001    0.000    0.001    0.000 {open}
      239    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
       12    0.001    0.000    0.002    0.000 pkg_resources.py:1462(_fn)
       52    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 ssl.py:125(<dictcomp>)
        1    0.001    0.001    0.001    0.001 token.py:1(<module>)
        1    0.001    0.001    0.001    0.001 uu.py:31(<module>)
        8    0.001    0.000    0.001    0.000 {method 'seek' of 'file' objects}
       52    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
       39    0.001    0.000    0.001    0.000 stat.py:55(S_ISLNK)
        8    0.001    0.000    0.005    0.001 abc.py:105(register)
        1    0.001    0.001    0.001    0.001 os.py:35(_get_exports_list)
        8    0.001    0.000    0.012    0.002 pkg_resources.py:2409(_get_metadata)
        9    0.001    0.000    0.001    0.000 posixpath.py:127(dirname)
        2    0.000    0.000    0.001    0.001 zipfile.py:201(_EndRecData)
       71    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
       28    0.000    0.000    0.001    0.000 collections.py:358(<genexpr>)
       30    0.000    0.000    0.001    0.000 stat.py:40(S_ISDIR)
        8    0.000    0.000    0.083    0.010 pkg_resources.py:1858(find_eggs_in_zip)
        5    0.000    0.000    0.001    0.000 pkg_resources.py:1484(_setup_prefix)
       15    0.000    0.000    0.074    0.005 pkg_resources.py:1633(zipinfo)
       16    0.000    0.000    0.001    0.000 posixpath.py:104(splitext)
       43    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.001    0.001 <string>:1(<module>)
        5    0.000    0.000    0.001    0.000 abc.py:89(<genexpr>)
        8    0.000    0.000    0.001    0.000 pkg_resources.py:2010(fixup_namespace_packages)
       16    0.000    0.000    0.007    0.000 pkg_resources.py:1154(safe_name)
       10    0.000    0.000    0.013    0.001 pkg_resources.py:2046(normalize_path)
       28    0.000    0.000    0.001    0.000 collections.py:356(<genexpr>)
       12    0.000    0.000    0.002    0.000 pkg_resources.py:1162(safe_version)
       82    0.000    0.000    0.000    0.000 sre_parse.py:219(isident)
        8    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        9    0.000    0.000    0.084    0.009 pkg_resources.py:1398(has_metadata)
        1    0.000    0.000    0.009    0.009 random.py:100(seed)
    27/16    0.000    0.000    0.005    0.000 {issubclass}
       16    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        2    0.000    0.000    0.055    0.028 zipfile.py:726(__init__)
        4    0.000    0.000    0.012    0.003 pkg_resources.py:2456(from_filename)
       54    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       10    0.000    0.000    0.003    0.000 posixpath.py:365(abspath)
        4    0.000    0.000    0.000    0.000 {time.mktime}
        2    0.000    0.000    0.002    0.001 pkg_resources.py:1002(get_cache_path)
        5    0.000    0.000    0.000    0.000 {repr}
       10    0.000    0.000    0.013    0.001 posixpath.py:379(realpath)
       15    0.000    0.000    0.000    0.000 {hasattr}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.130    0.130 pkg_resources.py:422(__init__)
       10    0.000    0.000    0.000    0.000 pkg_resources.py:1614(_zipinfo_name)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:2865(_initialize)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
       16    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       20    0.000    0.000    0.001    0.000 posixpath.py:59(isabs)
        1    0.000    0.000    0.000    0.000 {_rpi_ws281x.new_ws2811_t}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        2    0.000    0.000    0.001    0.000 pkg_resources.py:1110(get_default_cache)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 zipfile.py:709(ZipFile)
       40    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2274(Distribution)
        1    0.000    0.000    0.020    0.020 pkg_resources.py:752(subscribe)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        9    0.000    0.000    0.000    0.000 pkg_resources.py:536(__iter__)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:96(_declare_state)
        2    0.000    0.000    0.000    0.000 posixpath.py:258(expanduser)
        1    0.000    0.000    0.000    0.000 sysconfig.py:584(get_platform)
        4    0.000    0.000    0.001    0.000 pkg_resources.py:1829(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(DefaultVerifyPaths)
        9    0.000    0.000    0.000    0.000 posixpath.py:119(basename)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 ssl.py:479(SSLSocket)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        2    0.000    0.000    0.000    0.000 {_ssl.txt2obj}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       47    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        8    0.000    0.000    0.019    0.002 pkg_resources.py:2884(<lambda>)
        1    0.000    0.000    0.000    0.000 tempfile.py:505(SpooledTemporaryFile)
        1    0.000    0.000    0.130    0.130 pkg_resources.py:435(_build_master)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        1    0.000    0.000    0.034    0.034 pkg_resources.py:1637(get_resource_filename)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:256(get_build_platform)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1623(_parts)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1650(_get_date_and_size)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        2    0.000    0.000    0.000    0.000 ssl.py:302(__new__)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:778(Environment)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
       65    0.000    0.000    0.000    0.000 {globals}
       16    0.000    0.000    0.000    0.000 pkg_resources.py:2810(cls)
        2    0.000    0.000    0.055    0.028 pkg_resources.py:1595(__new__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1189(MarkerEvaluation)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
       16    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        2    0.000    0.000    0.000    0.000 stat.py:49(S_ISREG)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        8    0.000    0.000    0.000    0.000 {imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        2    0.000    0.000    0.000    0.000 zipfile.py:158(_EndRecData64)
        4    0.000    0.000    0.000    0.000 zipfile.py:1261(close)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
       13    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1604(ZipProvider)
       28    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       13    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.000    0.000    0.004    0.004 pkg_resources.py:1727(_get_eager_resources)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1375(NullProvider)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        4    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2159(EntryPoint)
        1    0.000    0.000    0.011    0.011 pkg_resources.py:2573(DistInfoDistribution)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:2065(yield_lines)
        2    0.000    0.000    0.001    0.000 pkg_resources.py:84(_bypass_ensure_directory)
        2    0.000    0.000    0.000    0.000 posixpath.py:89(split)
        8    0.000    0.000    0.000    0.000 pkg_resources.py:760(_added_new)
        1    0.000    0.000    0.000    0.000 urllib.py:120(URLopener)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
       28    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.001    0.001 pkg_resources.py:226(get_provider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1027(_warn_unsafe_extraction_path)
       10    0.000    0.000    0.000    0.000 pkg_resources.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:158(FeedParser)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:419(WorkingSet)
        1    0.000    0.000    0.011    0.011 zipfile.py:501(ZipExtFile)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        2    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
